Age,Frequency,Percentage,Cumulative Percentage
25-34,91,51.12359550561798,51.12359550561798
35-44,46,25.842696629213485,76.96629213483146
45-54,17,9.550561797752808,86.51685393258427
18-24,14,7.865168539325842,94.3820224719101
55-64,8,4.49438202247191,98.87640449438202
65+,2,1.1235955056179776,100.0
